epoch,train_loss,val_auc
0,0.4518974661913435,0.7957419098225343
1,0.4211337678535342,0.8072703620653834
2,0.4125172381400322,0.8165407716971659
3,0.40609052846368576,0.8224851109877247
4,0.3988049428953191,0.8319676772946372
5,0.39224065237660083,0.8367411032195726
6,0.38613384927542793,0.8405268699915499
7,0.3810564035068679,0.8453989252910952
8,0.3760317770998604,0.8480288305861509
9,0.3709941296283131,0.8541614947323658
10,0.36691737910177535,0.8563235618011508
11,0.36313156433255467,0.8568532667338916
12,0.35969664000085744,0.8590722210283352
13,0.3561093643375531,0.8620233352489546
14,0.35341290904776446,0.8637139925598697
15,0.3503483273088932,0.86409541511772
16,0.34778959875531645,0.8658131962156919
17,0.344713378426255,0.8670565997204035
18,0.3426460747526872,0.8647522507739467
19,0.339984916600812,0.8673899798098057
